id,MSISID,LEVEL,URL,geometry_wkt
1,5154-NH-GDS-0012,第五類,http://210.69.23.171/MSIS/PDF/5154-NH-GDS-0012.pdf,"LINESTRING (121.62252146682717 25.089166369731416, 121.62252610772417 25.089168589178385, 121.62253062721649 25.08917032614184, 121.62253514670896 25.089172063105146, 121.62254370966775 25.089174523389758, 121.62255227262682 25.08917698367385, 121.62255998444824 25.08917874786654, 121.62256769626987 25.0891805120588, 121.62257399654816 25.08918152383007, 121.6225802968265 25.089182535601097, 121.62258290010563 25.089182723290772, 121.62258550338477 25.08918291098039, 121.62258944232678 25.08918256944671, 121.6225933812688 25.089182227912897, 121.62259592901911 25.08918221722151, 121.62259847676935 25.08918220653008, 121.62260331854121 25.08918102161244, 121.62260816031298 25.089179836694623, 121.62261108918194 25.08917873654137, 121.62261401805084 25.08917763638805, 121.62262051282879 25.089174963956946, 121.62262700760648 25.089172291525546, 121.62263438413025 25.089168527531257, 121.62264176065358 25.08916476353658, 121.62264632521283 25.08915875436708, 121.6226508897716 25.08915274519746, 121.62265697350439 25.08914524907601, 121.62266305723641 25.089137752954308, 121.62266671558292 25.089129960062774, 121.62267009366101 25.08912276418897, 121.62267315210512 25.089115777298307, 121.62268052155818 25.08909882737334)"
2,5154-NH-GDS-0013,第五類,http://210.69.23.171/MSIS/PDF/5154-NH-GDS-0013.pdf,"LINESTRING (121.62267367200037 25.089056274751965, 121.62268064523236 25.089034522903052, 121.62269061674628 25.089007186880355, 121.62269849849625 25.088986693135357, 121.62270409391368 25.08897169077561, 121.62271126951265 25.088954513061285, 121.62271899440086 25.08893602039414, 121.62272105403243 25.088932812405915)"
3,5154-NH-GDS-0014,第四類,http://210.69.23.171/MSIS/PDF/5154-NH-GDS-0014.pdf,"LINESTRING (121.62223244651042 25.08909360627075, 121.62224464605748 25.089105625792865, 121.62225393422126 25.089114760052116, 121.62227456139445 25.089129151931157, 121.62228547667772 25.089136764174338)"
4,5154-NH-GDS-0015,第五類,http://210.69.23.171/MSIS/PDF/5154-NH-GDS-0015.pdf,"LINESTRING (121.62089064303017 25.092878832367344, 121.62090377615954 25.092882198973843, 121.62091921370708 25.09288545211305, 121.62093465125541 25.092888705250648, 121.62095014080093 25.092891457120537, 121.62096548416002 25.09289372660807, 121.62098082751965 25.092895996094015, 121.62099644116033 25.092897799510084, 121.62101205480144 25.092899602924525, 121.6210278783295 25.092900759963836, 121.6210437018578 25.092901917001452, 121.6210598548528 25.092902549039852, 121.6210760078479 25.09290318107651, 121.62108155791735 25.092903330130987)"
5,5154-NH-GDS-0016,第四類,http://210.69.23.171/MSIS/PDF/5154-NH-GDS-0016.pdf,"LINESTRING (121.62053824602444 25.092827213705956, 121.6205498626517 25.092831913860795, 121.62057176526571 25.092840317493334, 121.62059366788272 25.092848721122554, 121.62060971710874 25.092854332531218, 121.62062576633618 25.092859943938116, 121.62063704040555 25.09286327320639, 121.6206483144755 25.09286660247381, 121.62065701924347 25.09286863344426, 121.6206657240117 25.09287066441422, 121.62068165162104 25.09287378462339, 121.6206969521611 25.09287641092003, 121.62071177511194 25.09287869615318, 121.62071882449864 25.092879752322872)"
6,5154-NH-GSW-0001,第五類,http://210.69.23.171/MSIS/PDF/5154-NH-GSW-0001.pdf,"LINESTRING (121.62258864230996 25.08927621923532, 121.62259333437713 25.08928561113373, 121.622598026445 25.089295003031978, 121.62260267209858 25.089305018050094, 121.62260731775291 25.089315033068015, 121.62261575591442 25.089342730189934, 121.62262639102798 25.089380801087675, 121.62263709095397 25.08941792136148, 121.62265124034992 25.089448845263483, 121.622664430805 25.089473398444156)"
7,5154-NH-GSW-0002,第五類,http://210.69.23.171/MSIS/PDF/5154-NH-GSW-0002.pdf,"LINESTRING (121.6225049411002 25.089238566340136, 121.62252476268897 25.089238782249957, 121.62254426857285 25.089238939642573, 121.62255713947192 25.089237572074992, 121.62257001037067 25.089236204506307, 121.62257753841025 25.089234954149802, 121.62258384414369 25.089233902269502, 121.62258495251376 25.089233717812867, 121.62259847191848 25.08923146653123, 121.6225998946562 25.089231231117953, 121.62262150281468 25.089223313916627, 121.62262300016387 25.08922276528966, 121.62263610875287 25.089213515359035, 121.6226492173399 25.08920426542726, 121.62265469247286 25.089196004488365, 121.6226601676051 25.089187743549278, 121.62266468864593 25.08917019690266, 121.62266890382674 25.089153821506027, 121.62267503139142 25.08913353632302, 121.62268331630631 25.089105818154103, 121.62268578309379 25.089097201423098, 121.62268903495665 25.089085842344733)"
8,5154-NH-GSW-0003,第五類,http://210.69.23.171/MSIS/PDF/5154-NH-GSW-0003.pdf,"LINESTRING (121.62247400350601 25.089300532204287, 121.62248496792074 25.089302185163824, 121.62248889674694 25.089302782577033, 121.62249782600773 25.089306121547715, 121.62250318314175 25.08931078455166, 121.62250856777663 25.089316964127633, 121.62251200490212 25.08932226714043)"
9,5154-NH-GSW-0004,第五類,http://210.69.23.171/MSIS/PDF/5154-NH-GSW-0004.pdf,"LINESTRING (121.62249501807325 25.089364435522583, 121.62251402121802 25.08937201144996, 121.62252249926242 25.089376300242044, 121.62252885637905 25.089380706267807, 121.62253921861556 25.089389031653052, 121.6225513517491 25.089400554511908, 121.62255869386107 25.089407619634347, 121.62256089706574 25.089410047922865, 121.62256310027053 25.08941247621134, 121.62256652223365 25.08941870013239, 121.62257156222758 25.08943044085276, 121.6225825532235 25.089456044488074, 121.62259270205425 25.08948096856287, 121.62260285088924 25.0895058926368, 121.62260353247282 25.08951422253012)"
10,5154-NH-GSW-0005,第四類,http://210.69.23.171/MSIS/PDF/5154-NH-GSW-0005.pdf,"LINESTRING (121.62205078298797 25.08911986688173, 121.62210773302783 25.089205611411717, 121.62186883827758 25.089202699405465)"
