Unnamed: 0,name,address,type,location,Mon_Stime,Mon_Dtime,Tue_Stime,Tue_Dtime,Wed_Stime,Wed_Dtime,Thu_Stime,Thu_Dtime,Fri_Stime,Fri_Dtime,Sat_Stime,Sat_Dtime,Sun_Stime,Sun_Dtime,telephone,lat,lng,district
1,一滴水紀念館旅客服務中心,新北市淡水區中正路一段6巷30號,觀光旅遊地區,一滴水紀念館旅客服務中心,540,1020,540,1020,540,1020,540,1020,540,1020,540,1020,NaN,NaN,02-29420451分機5203,25.178206,121.430772,淡水區
2,新北市永和區秀朗國民小學,新北市永和區得和路202號,學校、大型集會場所,基層選手游泳訓練站,360,1200,360,1200,360,1200,360,1200,360,1200,780,1260,NaN,NaN,02-29683569,24.9996038,121.5216113,永和區
3,財政部北區國稅局板橋分局,新北市板橋區文化路一段48號,其他,一樓,480,1020,480,1020,480,1020,480,1020,480,1020,NaN,NaN,NaN,NaN,(02)2926-6888#6100,25.0118301,121.4601896,板橋區
4,國立臺灣圖書館,新北市中和區中安街85號,大型休閒場所,國立臺灣圖書館,540,1260,540,1260,540,1260,540,1260,540,1260,540,1260,540,1260,02-29855892,25.0014761,121.5126447,中和區
5,新北市私立格致高級中學,新北市三重區大智街260號,學校、大型集會場所,教官室外,420,1260,420,1260,420,1260,420,1260,420,1260,420,720,NaN,NaN,,25.0734906,121.4885294,三重區
6,淡江大學,新北市淡水區英專路151號,學校、大型集會場所,衛保組,480,1020,480,1020,480,1020,480,1020,480,1020,NaN,NaN,NaN,NaN,,25.1731907,121.448457,淡水區
7,淡江大學,新北市淡水區英專路151號,學校、大型集會場所,紹謨紀念游泳館,480,1020,480,1020,480,1020,480,1020,480,1020,NaN,NaN,NaN,NaN,,25.1731907,121.448457,淡水區
8,淡江大學,新北市淡水區英專路151號,學校、大型集會場所,紹模紀念體育館 3F,480,1020,480,1020,480,1020,480,1020,480,1020,NaN,NaN,NaN,NaN,(02)7749-3117,25.1731907,121.448457,淡水區
9,國立臺灣師範大學林口校區,新北市林口區仁愛路1段2號,學校、大型集會場所,林口校區行政大樓一樓走廊,480,1050,480,1050,480,1050,480,1050,480,1050,NaN,NaN,NaN,NaN,935084554,25.0790108,121.3881378,林口區
10,大瓏企業股份有限公司,新北市土城區中央路四段51號9~12樓,其他,大瓏企業12樓梯廳,480,480,480,480,480,480,480,480,480,480,480,480,480,480,22521212-236 0952262266,24.9603141,121.4207239,土城區
11,新北市議會,新北市板橋區文化路2段166號,學校、大型集會場所,新北市議會議事廳議場入口旁,480,1260,480,1260,480,1260,480,1260,480,1260,480,1260,480,1260,927025335,25.0272371,121.4706348,板橋區
