監測站,監測站(英文),監測值(微西弗/時),時間,GPS經度,GPS緯度,地址,海拔高度(m),距離地面(或平台)高度(m)
磺潭,HWANGTAN,0.044,2025-06-01 02:35,121.646598,25.199527,新北市萬里區員潭路6之2號(金山磺潭社區),31,1
石門,SHIHMAN,0.05,2025-06-01 02:30,121.562988,25.291137,新北市石門區尖鹿村濱海公路旁地面(石門國中),12,1
三芝,SHANGI,0.038,2025-06-01 02:35,121.515937,25.233671,新北市三芝區八連溪附近地面(三芝區共榮社區),175,1
石崩山,SHIHBENGSHAN,0.029,2025-06-01 02:30,121.56578,25.263563,新北市石門區山溪里地面(石門國小山溪分校),193,1
茂林,MAOLIN,0.035,2025-06-01 02:30,121.590904,25.270145,新北市石門區茂林社區地面(台電茂林社區員工宿舍餐廳旁),151,1
金山,CHINSHAN,0.042,2025-06-01 02:35,121.63533,25.221122,新北市金山區仁愛路邊地面(金美國小),12,1
野柳,YEHLIU,0.039,2025-06-01 02:35,121.689033,25.206311,新北市萬里區野柳村港東路(野柳國小旁土地公廟1樓屋頂平台),9,1
大鵬,TAPERNG,0.046,2025-06-01 02:30,121.651535,25.208221,新北市萬里區大鵬村萬里加投路地面(大鵬國小),15,1
陽明山,YANGMINSHAN,0.034,2025-06-01 02:30,121.54441,25.162351,臺北市北投區陽明山竹子湖路2號(竹子湖氣象站2樓屋頂平台) ,613,1
大坪,TAPING,0.068,2025-06-01 02:30,121.638763,25.167714,新北市萬里區雙興村大坪路地面(大坪國小),353,1
萬里,WANLI,0.048,2025-06-01 02:30,121.688049,25.176182,新北市萬里區瑪鋉路18號地面(萬里國小),11,1
新店,XINDIAN,0.05,2025-06-01 02:30,121.524906,24.959816,新北市新店區莒光路29號,29,1
澳底,AODI,0.042,2025-06-01 02:35,121.923811,25.047576,新北市貢寮區仁里村研海路62號地面(核四廠觀測坪),13,1
貢寮,GONGLIAO,0.042,2025-06-01 02:30,121.919736,25.010583,新北市貢寮區?玉路下?西街20號地面(貢寮自來水廠),19,1
雙溪,SHUANGSI,0.056,2025-06-01 02:30,121.862747,25.03516,新北市雙溪區梅竹蹊3號地面(雙溪高中),38,1
