StationName,StationId,Maintainer,DateTime,StationLatitude,StationLongitude,StationAltitude,CountyName,TownName,CountyCode,TownCode,Precipitation
淡水,466900,中央氣象署,2025-05-31T19:30:00+08:00,25.164889,121.448906,19.0,新北市,淡水區,65000,65000100,0.0
新北,466881,中央氣象署,2025-05-31T19:30:00+08:00,24.959207,121.525196,24.5,新北市,新店區,65000,65000060,0.0
陽明山,466930,中央氣象署,2025-05-31T19:30:00+08:00,25.162078,121.544547,607.1,臺北市,北投區,63000,63000120,0.0
鞍部,466910,中央氣象署,2025-05-31T19:30:00+08:00,25.182586,121.529731,837.6,臺北市,北投區,63000,63000120,0.0
臺北,466920,中央氣象署,2025-05-31T19:30:00+08:00,25.037658,121.514853,6.3,臺北市,中正區,63000,63000050,0.0
關渡,C1AC50,中央氣象署,2025-05-31T19:30:00+08:00,25.133486,121.469331,111.0,臺北市,北投區,63000,63000120,0.0
新莊,C0ACA0,中央氣象署,2025-05-31T19:30:00+08:00,25.051478,121.446756,25.0,新北市,新莊區,65000,65000050,0.0
中和,C0AG80,中央氣象署,2025-05-31T19:30:00+08:00,24.991622,121.491792,48.0,新北市,中和區,65000,65000030,0.0
石碇,C0A640,中央氣象署,2025-05-31T19:30:00+08:00,24.993969,121.662917,241.0,新北市,石碇區,65000,65000190,0.0
文山,C0AC80,中央氣象署,2025-05-31T19:30:00+08:00,25.002350,121.575728,40.0,臺北市,文山區,63000,63000080,0.0
山佳,C0A520,中央氣象署,2025-05-31T19:30:00+08:00,24.974944,121.402008,48.0,新北市,樹林區,65000,65000070,0.0
桶後,C0A570,中央氣象署,2025-05-31T19:30:00+08:00,24.848222,121.597992,360.0,新北市,烏來區,65000,65000290,0.0
林口,C0AH50,中央氣象署,2025-05-31T19:30:00+08:00,25.072181,121.380839,275.0,新北市,林口區,65000,65000170,0.0
鼻頭角,C0A950,中央氣象署,2025-05-31T19:30:00+08:00,25.129036,121.923372,60.0,新北市,瑞芳區,65000,65000120,0.0
大坪,C0A860,中央氣象署,2025-05-31T19:30:00+08:00,25.165914,121.632969,362.0,新北市,萬里區,65000,65000280,0.0
五指山,C0A870,中央氣象署,2025-05-31T19:30:00+08:00,25.132153,121.608692,685.0,新北市,汐止區,65000,65000110,0.0
雙溪,C0A890,中央氣象署,2025-05-31T19:30:00+08:00,25.036003,121.864242,40.0,新北市,雙溪區,65000,65000250,0.5
三和,C0A931,中央氣象署,2025-05-31T19:30:00+08:00,25.233153,121.595236,216.0,新北市,金山區,65000,65000270,0.0
金山,C0A940,中央氣象署,2025-05-31T19:30:00+08:00,25.223628,121.643967,49.0,新北市,金山區,65000,65000270,0.0
三貂角,C0A970,中央氣象署,2025-05-31T19:30:00+08:00,25.007606,122.002058,96.0,新北市,貢寮區,65000,65000260,0.0
社子,C0A980,中央氣象署,2025-05-31T19:30:00+08:00,25.109508,121.469681,11.0,臺北市,士林區,63000,63000110,0.0
天母,C0A9C0,中央氣象署,2025-05-31T19:30:00+08:00,25.117494,121.537169,35.0,臺北市,士林區,63000,63000110,0.0
內湖,C0A9F0,中央氣象署,2025-05-31T19:30:00+08:00,25.079422,121.575450,35.0,臺北市,內湖區,63000,63000100,0.0
信義,C0AC70,中央氣象署,2025-05-31T19:30:00+08:00,25.037822,121.564597,71.0,臺北市,信義區,63000,63000020,0.0
坪林,C0A530,中央氣象署,2025-05-31T19:30:00+08:00,24.938183,121.709750,300.0,新北市,坪林區,65000,65000200,0.0
泰平,C0A550,中央氣象署,2025-05-31T19:30:00+08:00,24.971197,121.823711,422.0,新北市,雙溪區,65000,65000250,0.0
汐止,C0AH00,中央氣象署,2025-05-31T19:30:00+08:00,25.066881,121.658778,38.0,新北市,汐止區,65000,65000110,0.0
三峽,C0AC60,中央氣象署,2025-05-31T19:30:00+08:00,24.939025,121.369728,55.0,新北市,三峽區,65000,65000090,0.0
四十份,C1A9N0,中央氣象署,2025-05-31T19:30:00+08:00,24.934158,121.593283,435.0,新北市,新店區,65000,65000060,0.0
大屯山,C0AC40,中央氣象署,2025-05-31T19:30:00+08:00,25.175675,121.522408,1079.0,臺北市,北投區,63000,63000120,0.0
湖田國小,A1A9S0,臺北市政府工務局水利工程處,2025-05-31T19:30:00+08:00,25.168595,121.538915,699.0,臺北市,北投區,63000,63000120,0.0
大屯國小,A1A9T0,臺北市政府工務局水利工程處,2025-05-31T19:30:00+08:00,25.154997,121.503915,318.0,臺北市,北投區,63000,63000120,0.0
