排序,流域,水位站,水情時間,目前水位,一級警戒值,二級警戒值,三級警戒值,警戒狀態,longitude,latitude,place_name,city,district
56,淡水河,覽勝橋,05-31 13:00,116.6,114.5,112.5,--,一級警戒,121.551149,24.861817,233台湾烏來區覽勝大橋,metrotaipei,烏來區
66,淡水河,加九寮景觀大橋,05-31 13:00,93.65,90.2,88,--,一級警戒,121.540266,24.884628,233台湾烏來區加九寮景觀橋,metrotaipei,烏來區
77,淡水河,上龜山橋,05-31 13:00,64.8,62.4,60.5,--,一級警戒,121.549909,24.898988,231台湾新店區上龜山橋,metrotaipei,新店區
82,淡水河,屈尺,05-31 13:00,48.99,50.5,--,--,未達警戒,121.549385,24.922586,台湾新北市新店區屈尺,metrotaipei,新店區
84,淡水河,廣興,05-31 13:00,43.58,46.0,--,--,未達警戒,121.45714,24.988997,台湾新北市土城區廣興,metrotaipei,土城區
85,淡水河,介壽橋(1),05-31 13:00,48.3,50.3,47.3,--,二級警戒,121.828795,25.08888,224台湾瑞芳區介壽橋,metrotaipei,瑞芳區
94,淡水河,橫溪海山橋,05-31 13:00,34.8,35.6,34.3,--,二級警戒,121.416013,24.926296,237台湾三峽區海山橋,metrotaipei,三峽區
96,淡水河,三鶯橋,05-31 13:00,43.8,44.6,43.6,--,二級警戒,121.354285,24.943697,239台湾鶯歌區三鶯大橋,metrotaipei,鶯歌區
98,淡水河,三峽(2),05-31 13:00,31.8,32.5,31.3,--,二級警戒,121.3693,24.932821,台湾新北市三峽區三峽,metrotaipei,三峽區
118,淡水河,橫溪,05-31 13:00,18.69,25.0,--,--,未達警戒,121.397586,24.935337,237台湾三峽區橫溪路,metrotaipei,三峽區
126,淡水河,柑園橋,05-31 13:00,13.02,21.3,18.9,--,未達警戒,121.394004,24.967843,238台湾樹林區柑園橋,metrotaipei,樹林區
128,淡水河,碧潭橋,05-31 13:00,12.57,17.5,15.8,--,未達警戒,121.53453,24.959278,231台湾新店區碧潭橋,metrotaipei,新店區
143,淡水河,寶橋,05-31 13:00,12.5,18.0,15,11.6,三級警戒,121.547884,24.976589,231台湾新店區寶橋路,metrotaipei,新店區
145,淡水河,柑城橋,05-31 13:00,15.1,17.6,15.8,14,三級警戒,121.4095,24.960053,238台湾樹林區柑城橋,metrotaipei,樹林區
159,淡水河,秀朗,05-31 13:00,7.2,11.3,9.1,5.9,三級警戒,121.52431,25.004147,台湾新北市永和區秀朗,metrotaipei,永和區
160,磺溪,新磺溪橋,05-31 13:00,2.12,5.8,4.6,--,未達警戒,121.629338,25.226471,208台湾金山區新磺溪橋,metrotaipei,金山區
168,淡水河,江北橋,05-31 13:00,1.46,12.7,9.7,--,未達警戒,121.655143,25.06903,221台湾汐止區江北橋,metrotaipei,汐止區
170,淡水河,土地公鼻,05-31 13:00,2.8,5.0,3.1,2.1,三級警戒,121.814975,25.022025,227台湾雙溪區基福公路,metrotaipei,雙溪區
172,淡水河,城林橋,05-31 13:05,1.3,15.3,13,--,未達警戒,121.432413,24.97788,220台湾板橋區城林橋,metrotaipei,板橋區
174,淡水河,新海大橋,05-31 13:00,5.7,10.2,7.7,2.8,三級警戒,121.456245,25.028913,台湾新北市板橋區新海,metrotaipei,板橋區
179,淡水河,中正橋,05-31 13:00,1.1,10.5,8.3,5.4,未達警戒,121.515637,25.01912,234台湾永和區中正橋,metrotaipei,永和區
191,淡水河,社后橋,05-31 13:00,0.82,11.5,8.5,--,未達警戒,121.635927,25.063534,221台湾汐止區新社后橋,metrotaipei,汐止區
192,淡水河,獅子頭,05-31 13:00,0.64,4.5,3,--,未達警戒, 121.458841013201, 25.113089865592933, 新北市五股區, metrotaipei, 五股區
193,淡水河,入口堰,05-31 13:00,0.43,3.8,3.5,3.3,未達警戒,121.45540914335739, 25.102404434680842, 新北市五股區, metrotaipei, 五股區
175,淡水河,百齡橋,05-31 13:00,1.19,8.8,7,--,未達警戒,121.512596,25.088318,111台湾臺北市士林區百齡橋,taipei,士林區
176,淡水河,中山橋,05-31 13:00,1.15,9.2,7.1,--,未達警戒,121.524517,25.073725,104台湾臺北市中山區中山橋,taipei,中山區
183,淡水河,大直橋,05-31 13:00,4.5,9.8,8,3.3,三級警戒,121.54447,25.076712,104台湾臺北市中山區大直橋,taipei,中山區
184,淡水河,台北橋,05-31 13:00,7.6,8.5,6.7,2.2,二級警戒,121.508965,25.063312,103台湾臺北市大同區台北大橋,taipei,大同區
187,淡水河,南湖大橋,05-31 13:00,12.4,11.6,9.8,6.4,一級警戒,121.611655,25.063403,114台湾臺北市內湖區南湖大橋,taipei,內湖區
